번호,주제(EN),주제(KR),게시일,Instagram URL,Post ID,점수,상태
1,pineapple,파인애플,,,,,대기
2,apple,사과,,,,,대기
3,sweet_potato,고구마,,,,,대기
4,cherries,체리,,,,,대기
5,blueberries,블루베리,,,,,대기
6,carrot,당근,,,,,대기
7,pumpkin,단호박,,,,,대기
8,banana,바나나,,,,,대기
9,broccoli,브로콜리,,,,,대기
10,watermelon,수박,,,,,대기
11,orange,오렌지,2026-01-28,https://www.instagram.com/p/DUCqsKXCuab/,18037779965823019,95,게시완료
12,pear,배,2026-01-28,https://www.instagram.com/p/DUCq2i5Cuxb/,18019082019035247,95,게시완료
13,kiwi,키위,2026-01-28,https://www.instagram.com/p/DUCrA2Di9rR/,17865491109987986,95,게시완료
14,papaya,파파야,2026-01-28,https://www.instagram.com/p/DUCrKR0Cpzp/,17876176946944316,95,게시완료
15,peach,복숭아,2026-01-28,https://www.instagram.com/p/DUCrTosSjVK/,18006426497181620,95,게시완료
16,strawberry,딸기,2026-01-28,https://www.instagram.com/p/DUCwiimk0Ku/,17909393523321615,97,게시완료
17,mango,망고,2026-01-28,https://www.instagram.com/p/DUCwsHnkx1x/,18155385382426315,97,게시완료
18,rice,흰쌀밥,2026-01-29,https://www.instagram.com/p/DUFsJbME899/,17985594611928567,96,게시완료
19,cucumber,오이,2026-01-29,https://www.instagram.com/p/DUFsP8-E65R/,18093028798965864,96,게시완료
20,pringles,프링글스,2026-02-01,,,95,게시완료
21,sausage,소시지,2026-02-01,,,95,게시완료
22,beef,소고기,2026-02-01,,,95,게시완료
23,kale,케일,2026-02-02,https://www.instagram.com/p/DUOIklECUZS/,18114065239624721,95,게시완료
